0	100	792
0	49.9985	0.393091	3.06162e-15	0.00792231	-1.00766	6.17035e-17	
1	-92.1248	-38.8975	6.12323e-15	-0.772255	1.82901	-3.64705e-16	
2	52.3115	140.583	9.18485e-15	2.72387	-1.01357	1.77962e-16	
3	72.151	-186.532	1.22465e-14	-3.4974	-1.3528	-6.88849e-16	
4	-215.178	-127.273	1.53081e-14	-2.29225	3.87547	-8.2712e-16	
5	-297.604	37.8374	1.83697e-14	0.650577	5.11702	3.15849e-16	
6	-206.243	282.779	2.14313e-14	4.61866	3.36859	3.5004e-16	
7	317.539	-243.247	2.44929e-14	-3.7596	-4.90785	-1.13568e-15	
8	198.836	-403.688	2.75546e-14	-5.8877	-2.89997	-1.20563e-15	
9	-10.6655	-499.886	3.06162e-14	-6.86658	0.146504	-1.26166e-15	
10	252.437	488.647	3.36778e-14	6.3143	-3.262	4.35185e-16	
11	379.377	-464.837	3.67394e-14	-5.6474	-4.60913	-1.33907e-15	
12	-159.664	-630.085	3.9801e-14	-7.19674	1.82366	-1.3638e-15	
13	-697.47	-59.4581	4.28626e-14	-0.638666	7.49183	-1.38122e-15	
14	-249.592	707.251	4.59243e-14	7.14871	2.52281	4.6419e-16	
15	796.457	75.2095	4.89859e-14	0.715947	-7.58177	4.66315e-16	
16	713.636	461.761	5.20475e-14	4.14393	-6.40431	4.67084e-16	
17	-592.853	677.145	5.51091e-14	5.73519	5.02126	4.66755e-16	
18	571.292	759.029	5.81707e-14	6.07451	-4.57205	4.6554e-16	
19	504.173	863.602	6.12323e-14	6.5387	-3.81731	4.63616e-16	
20	1047.27	-75.6387	6.4294e-14	-0.542494	-7.51122	-1.38338e-15	
21	-1036.58	368.106	6.73556e-14	2.50409	7.05146	4.58195e-16	
22	842.835	782.387	7.04172e-14	5.05444	-5.44495	4.54915e-16	
23	1199.48	35.2009	7.34788e-14	0.216234	-7.36825	4.51369e-16	
24	1248.04	69.9534	7.65404e-14	0.409101	-7.29878	4.47623e-16	
25	-935.723	902.454	7.9602e-14	5.0306	5.21605	4.4373e-16	
26	-1323.37	-266.807	8.26637e-14	-1.41929	7.03975	-1.3192e-15	
27	-1262.29	-605.502	8.57253e-14	-3.07727	6.41516	-1.30701e-15	
28	-1163.56	-865.238	8.87869e-14	-4.20569	5.65574	-1.29471e-15	
29	-1172.61	-935.403	9.18485e-14	-4.35327	5.45722	-1.28236e-15	
30	778.644	1340.23	9.49101e-14	5.97802	-3.4731	4.23342e-16	
31	-831.32	-1367.08	9.79717e-14	-5.85013	3.55746	-1.25775e-15	
32	-1571.75	502.093	1.01033e-13	2.06332	6.45899	4.15189e-16	
33	-1017.49	1361.88	1.04095e-13	5.37936	4.01903	4.1117e-16	
34	1638.81	613.838	1.07157e-13	2.33261	-6.22757	4.072e-16	
35	-1403.47	-1127.07	1.10218e-13	-4.1239	5.13526	-1.20986e-15	
36	384.469	-1809.61	1.1328e-13	-6.38078	-1.35566	-1.19829e-15	
37	616.643	-1797.15	1.16341e-13	-6.11152	-2.097	-1.18692e-15	
38	-1934.8	-242.975	1.19403e-13	-0.79751	6.35054	-1.17574e-15	
39	-641.294	1894.4	1.22465e-13	6.00587	2.03311	3.88254e-16	
40	1458.4	-1440.68	1.25526e-13	-4.41483	-4.46913	-1.15399e-15	
41	-306.65	-2077.49	1.28588e-13	-6.15778	0.908923	-1.14342e-15	
42	2067.99	-588.136	1.3165e-13	-1.68729	-5.93283	-1.13306e-15	
43	1964.7	-989.926	1.34711e-13	-2.75056	-5.45903	-1.12291e-15	
44	-2181.57	-550.697	1.37773e-13	-1.48288	5.87438	-1.11296e-15	
45	1439.88	1793.53	1.40834e-13	4.68312	-3.7597	3.67736e-16	
46	-2283.62	554.614	1.43896e-13	1.40508	5.78541	3.64552e-16	
47	220.932	2389.81	1.46958e-13	5.87761	-0.54337	3.61434e-16	
48	1588.1	-1865.6	1.50019e-13	-4.45672	-3.7938	-1.07514e-15	
49	627.791	2419.89	1.53081e-13	5.61797	-1.45747	3.55389e-16	
50	472.413	-2505.86	1.56142e-13	-5.65645	-1.06637	-1.05738e-15	
51	1443.17	-2162.69	1.59204e-13	-4.74897	-3.169	-1.04877e-15	
52	2649.46	-53.3518	1.62266e-13	-0.114018	-5.66217	-1.04033e-15	
53	2700	-5.17734	1.65327e-13	-0.0107734	-5.61834	-1.03207e-15	
54	-2102.3	-1772.8	1.68389e-13	-3.59349	4.2614	-1.02398e-15	
55	-2184.52	1751.54	1.71451e-13	3.45998	4.31529	3.38683e-16	
56	-289.825	2835.23	1.74512e-13	5.46035	0.558173	3.36093e-16	
57	-848.899	2772.97	1.77574e-13	5.20874	1.59457	3.33554e-16	
58	1582.94	-2489.34	1.80635e-13	-4.56241	-2.90119	-9.93196e-16	
59	2966.68	445.894	1.83697e-13	0.797685	-5.30726	3.28626e-16	
60	-2168.38	2144.91	1.86759e-13	3.74677	3.78777	3.26234e-16	
61	2589.68	1703.98	1.8982e-13	2.90749	-4.41875	3.23889e-16	
62	-1391.04	-2826.22	1.92882e-13	-4.7121	2.31925	-9.64765e-16	
63	3002.46	1106.92	1.95943e-13	1.80396	-4.89314	3.19332e-16	
64	3245.05	179.39	1.99005e-13	0.285861	-5.17104	3.17118e-16	
65	2879.64	-1611.72	2.02067e-13	-2.51207	-4.48828	-9.44839e-16	
66	-542.494	3305.78	2.05128e-13	5.04122	0.827287	3.12815e-16	
67	-487.449	3364.88	2.0819e-13	5.02206	0.727514	3.10722e-16	
